aar	Afar
abk	Abkhazian
ace	Achinese
ach	Acoli
ada	Adangme
ady	Adyghe; Adygei
afa	Afro-Asiatic (Other)
afh	Afrihili
afr	Afrikaans
aka	Akan
akk	Akkadian
alb	Albanian
ale	Aleut
alg	Algonquian languages
amh	Amharic
ang	English, Old (ca.450-1100)
apa	Apache languages
ara	Arabic
arc	Aramaic
arg	Aragonese
arm	Armenian
arn	Araucanian
arp	Arapaho
art	Artificial (Other)
arw	Arawak
asm	Assamese
ast	Asturian; Bable
ath	Athapascan language
aus	Australian languages
ava	Avaric
ave	Avestan
awa	Awadhi
aym	Aymara
aze	Azerbaijani
bad	Banda
bai	Bamileke languages
bak	Bashkir
bal	Baluchi
bam	Bambara
ban	Balinese
baq	Basque
bas	Basa
bat	Baltic (Other)
bej	Beja
bel	Belarusian
bem	Bemba
ben	Bengali
ber	Berber (Other)
bho	Bhojpuri
bih	Bihari
bik	Bikol
bin	Bini
bis	Bislama
bla	Siksika
bnt	Bantu (Other)
bos	Bosnian
bra	Braj
bre	Breton
btk	Batak (Indonesia)
bua	Buriat
bug	Buginese
bul	Bulgarian
bur	Burmese
byn	Blin; Bilin
cad	Caddo
cai	Central American Indian (Other)
car	Carib
cat	Catalan
cau	Caucasian (Other)
ceb	Cebuano
cel	Celtic (Other)
cha	Chamorro
chb	Chibcha
che	Chechen
chg	Chagatai
chi	Chinese
chk	Chukese
chm	Mari
chn	Chinook jargon
cho	Choctaw
chp	Chipewyan
chr	Cherokee
chu	Church Slavic
chv	Chuvash
chy	Cheyenne
cmc	Chamic languages
cop	Coptic
cor	Cornish
cos	Corsican
cpe	English-based (Other)
cpf	French-based (Other)
cpp	Portuguese-based (Other)
cre	Cree
crh	Crimean Turkish; Crimean Tatar
crp	Creoles and pidgins (Other)
csb	Kashubian
cus	Cushitic (Other)
cus	Portuguese-based (Other)
cze	Czech
dak	Dakota
dan	Danish
dar	Dargwa
dsb	Lower Sorbian
del	Delaware
den	Slave (Athapascan)
dgr	Dogrib
din	Dinka
div	Divehi
doi	Dogri
dra	Dravidian (Other)
dua	Duala
dum	Dutch, Middle (ca. 1050-1350)
dut	Dutch
dyu	Dyula
dzo	Dzongkha
efi	Efik
egy	Egyptian (Ancient)
eka	Ekajuk
elx	Elamite
eng	English
enm	English, Middle (1100-1500)
epo	Esperanto
est	Estonian
ewe	Ewe
ewo	Ewondo
fan	Fang
fao	Faroese
fat	Fanti
fij	Fijian
fin	Finnish
fiu	Finno-Ugrian (Other)
fon	Fon
fre	French
frm	French, Middle (ca.1400-1600)
fro	French, Old (842-ca.1400)
fry	Frisian
ful	Fulah
fur	Friulian
gaa	Ga
gay	Gayo
gba	Gbaya
gem	Germanic (Other)
geo	Georgian
ger	German
gez	Geez
gil	Gilbertese
gla	Gaelic; Scottish
gle	Irish
glg	Gallegan
glv	Manx
gmh	German, Middle High (ca.1050-1500)
goh	German, Old High (ca.750-1050)
gon	Gondi
gor	Gorontalo
got	Gothic
grb	Grebo
grc	Greek, Ancient (to 1453)
gre	Greek, Modern (1453-)
grn	Guarani
guj	Gujarati
gwi	Gwichin
hai	Haida
hat	Haitian; Haitian Creole
hau	Hausa
haw	Hawaiian
heb	Hebrew
her	Herero
hil	Hiligaynon
him	Himachali
hin	Hindi
hit	Hittite
hmn	Hmong
hmo	Hiri
hsb	Upper Sorbian
hun	Hungarian
hup	Hupa
iba	Iban
ibo	Igbo
ice	Icelandic
ido	Ido
iii	Sichuan Yi
ijo	Ijo
iku	Inuktitut
ile	Interlingue
ilo	Iloko
ina	Interlingua
inc	Indic (Other)
ind	Indonesian
ine	Indo-European (Other)
inh	Ingush
ipk	Inupiaq
ira	Iranian (Other)
iro	Iroquoian languages
ita	Italian
jav	Javanese
jbo	Lojban
jpn	Japanese
jpr	Judeo-Persian
jrb	Judeo-Arabic
kaa	Kara-Kalpak
kab	Kabyle
kac	Kachin
kal	Greenlandic (Kalaallisut)
kam	Kamba
kan	Kannada
kar	Karen
kas	Kashmiri
kau	Kanuri
kaw	Kawi
kaz	Kazakh
kbd	Kabardian
kha	Khazi
khi	Khoisan (Other)
khm	Khmer
kho	Khotanese
kik	Kikuyu
kin	Kinyarwanda
kir	Kirghiz
kmb	Kimbundu
kok	Konkani
kom	Komi
kon	Kongo
kor	Korean
kos	Kosraean
kpe	Kpelle
krc	Karachay-Balkar
kro	Kru
kru	Kurukh
kua	Kuanyama
kum	Kumyk
kur	Kurdish
kut	Kutenai
lad	Ladino
lah	Lahnda
lam	Lamba
lao	Lao
lat	Latin
lav	Latvian
lez	Lezghian
lim	Limburgian
lin	Lingala
lit	Lithuanian
lol	Mongo
loz	Lozi
ltz	Luxembourgish
lua	Luba-Lulua
lub	Luba-Katanga
lug	Ganda
lui	Luiseno
lun	Lunda
luo	Luo (Kenya and Tanzania)
lus	Lushai
mac	Macedonian
mad	Madurese
mag	Magahi
mah	Marshallese
mai	Maithili
mak	Makasar
mal	Malayalam
man	Mandingo
mao	Maori
map	Austronesian (Other)
mar	Marathi
mas	Masai
mal	Malay
mdf	Moksha
mdr	Mandar
men	Mende
mga	Irish, Middle (900-1200)
mic	Micmac
min	Minangkabau
mis	Miscellaneous languages
mkh	Mon-Khmer (Other)
mlg	Malagasy
mlt	Maltese
mnc	Manchu
mno	Manobo languages
moh	Mohawk
mol	Moldavian
mon	Mongolian
mos	Mossi
mul	Multiple languages
mun	Munda languages
mus	Creek
mwr	Marwari
myn	Mayan languages
myv	Erzya
nah	Nahuatl
nai	North American Indian (Other)
nap	Neapolitan
nau	Nauru
nav	Navaho
nbl	Ndebele, South
nde	Ndebele, North
ndo	Ndonga
nds	German, Low
nep	Nepali
new	Newari
nia	Nias
nic	Niger-Kordofanian (Other)
niu	Niuean
nno	Norwegian Nynorsk
nob	Bøkmal, Norwegian
nog	Nogai
non	Norse, Old
nor	Norwegian
nso	Sotho, Northern
nub	Nubian languages
nwc	Classical Newari; Old Newari
nya	Chewa; Chichewa; Nyanja
nym	Nyankole
nyo	Nyoro
nzi	Nzima
oci	Occitan (post 1500)
oji	Ojibwa
ori	Oriya
orm	Oromo
osa	Osage
oss	Ossetian
ota	Turkish, Ottoman (1500-1928)
oto	Otomian languages
paa	Papuan (Other)
pag	Pangasinan
pal	Pahlavi
pam	Pampanga
pan	Punjabi
pap	Papiamento
pau	Palauan
peo	Persian, Old (ca.600-400 B.C.)
per	Persian
phi	Philippine (Other)
